datetime,open,high,low,close,volume
2025-05-09 03:45:00,138.0,139.7,137.61,138.71,1748313
2025-05-09 03:50:00,138.74,139.34,138.12,138.25,755933
2025-05-09 03:55:00,138.25,139.1,138.13,138.21,1125183
2025-05-09 04:00:00,138.21,139.88,138.21,139.66,742478
2025-05-09 04:05:00,139.6,140.24,139.19,139.84,560810
2025-05-09 04:10:00,139.84,140.84,139.8,140.52,381690
2025-05-09 04:15:00,140.51,140.85,139.68,139.72,235291
2025-05-09 04:20:00,139.68,139.71,139.04,139.09,238457
2025-05-09 04:25:00,139.09,139.27,138.82,138.89,232209
2025-05-09 04:30:00,138.89,139.87,138.65,139.71,503954
2025-05-09 04:35:00,139.7,139.75,139.12,139.39,371251
2025-05-09 04:40:00,139.37,140.0,139.0,140.0,314329
2025-05-09 04:45:00,140.01,140.09,139.7,139.77,317764
2025-05-09 04:50:00,139.78,140.15,139.69,140.0,147487
2025-05-09 04:55:00,140.0,140.0,139.8,139.99,111357
2025-05-09 05:00:00,139.94,140.04,139.1,139.16,143357
2025-05-09 05:05:00,139.16,139.39,138.82,138.85,180200
2025-05-09 05:10:00,138.83,138.98,138.7,138.76,174079
2025-05-09 05:15:00,138.7,139.0,138.7,138.92,68529
2025-05-09 05:20:00,138.92,139.05,138.55,138.55,131116
2025-05-09 05:25:00,138.6,138.98,138.54,138.93,241282
2025-05-09 05:30:00,138.99,139.36,138.96,139.21,92122
2025-05-09 05:35:00,139.21,139.48,139.1,139.15,81559
2025-05-09 05:40:00,139.15,139.27,138.94,139.24,169744
2025-05-09 05:45:00,139.23,139.25,138.97,139.0,52605
2025-05-09 05:50:00,139.0,139.14,138.81,139.1,94891
2025-05-09 05:55:00,139.14,139.55,139.03,139.54,142479
2025-05-09 06:00:00,139.52,139.69,139.45,139.6,85618
2025-05-09 06:05:00,139.57,139.8,139.42,139.61,80954
2025-05-09 06:10:00,139.61,139.69,139.4,139.47,56425
2025-05-09 06:15:00,139.44,139.44,139.0,139.13,58111
2025-05-09 06:20:00,139.08,139.4,139.08,139.36,49389
2025-05-09 06:25:00,139.36,139.58,139.33,139.5,46901
2025-05-09 06:30:00,139.54,139.57,139.21,139.28,55616
2025-05-09 06:35:00,139.24,139.4,139.1,139.37,37470
2025-05-09 06:40:00,139.38,139.65,139.31,139.59,55041
2025-05-09 06:45:00,139.59,139.7,139.3,139.3,51766
2025-05-09 06:50:00,139.29,139.45,139.15,139.45,45754
2025-05-09 06:55:00,139.41,139.63,139.41,139.51,43882
2025-05-09 07:00:00,139.53,139.55,139.2,139.23,50496
2025-05-09 07:05:00,139.22,139.47,139.2,139.3,69647
2025-05-09 07:10:00,139.3,139.3,139.02,139.07,100786
2025-05-09 07:15:00,139.07,139.4,139.0,139.36,62249
2025-05-09 07:20:00,139.37,140.27,139.37,140.09,758801
2025-05-09 07:25:00,140.1,140.1,139.67,139.92,87478
2025-05-09 07:30:00,139.93,139.97,139.55,139.59,42317
2025-05-09 07:35:00,139.53,139.54,139.3,139.39,49148
2025-05-09 07:40:00,139.36,139.7,139.27,139.62,59135
2025-05-09 07:45:00,139.56,139.75,139.5,139.75,42010
2025-05-09 07:50:00,139.71,139.71,139.21,139.25,60016
2025-05-09 07:55:00,139.23,139.48,139.21,139.26,45648
2025-05-09 08:00:00,139.26,139.66,139.2,139.3,49979
2025-05-09 08:05:00,139.42,139.49,139.22,139.31,52329
2025-05-09 08:10:00,139.38,139.45,139.06,139.4,73913
2025-05-09 08:15:00,139.4,139.43,139.2,139.24,34643
2025-05-09 08:20:00,139.21,139.69,139.15,139.63,86935
2025-05-09 08:25:00,139.64,139.65,139.26,139.3,45446
2025-05-09 08:30:00,139.3,139.65,139.26,139.4,57167
2025-05-09 08:35:00,139.41,139.58,139.33,139.51,40207
2025-05-09 08:40:00,139.53,139.55,139.39,139.41,54724
2025-05-09 08:45:00,139.41,140.0,139.39,140.0,98960
2025-05-09 08:50:00,139.97,140.0,139.59,139.69,94843
2025-05-09 08:55:00,139.64,139.69,139.46,139.47,97837
2025-05-09 09:00:00,139.5,139.99,139.47,139.95,143148
2025-05-09 09:05:00,139.95,140.08,139.8,139.92,246751
2025-05-09 09:10:00,139.95,140.2,139.65,139.71,147234
2025-05-09 09:15:00,139.66,139.9,139.6,139.74,103613
2025-05-09 09:20:00,139.74,139.82,139.62,139.68,187316
2025-05-09 09:25:00,139.64,139.73,139.42,139.53,169651
2025-05-09 09:30:00,139.5,139.77,139.45,139.77,287129
2025-05-09 09:35:00,139.7,140.08,139.7,140.0,273233
2025-05-09 09:40:00,140.0,140.0,139.78,139.88,260438
2025-05-09 09:45:00,139.84,140.3,139.8,140.26,498568
2025-05-09 09:50:00,140.24,140.27,140.0,140.04,475175
2025-05-09 09:55:00,140.01,140.18,139.92,140.15,307217
